Case_Id,liver,kidney_right,spleen,pancreas,aorta,postcava,adrenal_gland_right,adrenal_gland_left,gall_bladder,stomach,duodenum,kidney_left,colon
FELIX-CYS-1004_ARTERIAL,0.9545871035461063,0.8997613175549645,0.9044702767209539,0.8622729829426183,3.7683234714668867e-10,5.642035417515114e-10,1.8930788999449514e-09,1.8930788999449514e-09,7.160707759227856e-10,2.174130929161072e-11,4.088591601178908e-10,0.9081036958106625,5.4731691562029795e-11
FELIX-CYS-1046_ARTERIAL,0.9555005908489108,0.925152367935768,0.893236641805875,0.7685960490192509,3.7528944184128656e-10,5.099231033359561e-10,6.433764354154511e-09,6.433764354154511e-09,8.96523281905898e-10,8.537230863068175e-11,2.9951149665909557e-10,0.9228416518325094,3.716960862737482e-10
FELIX-CYS-1050_VENOUS,0.9721119466906994,0.9460629281977764,0.9581583741238981,0.8897866293685739,4.95083817445227e-10,4.798786864377268e-10,3.2648796785240143e-09,3.2648796785240143e-09,1.054852319562392e-09,5.200175557656418e-11,3.3187199022574864e-10,0.9329289209739388,5.257054177872583e-11
FELIX-CYS-1086_VENOUS,0.9680915315972258,0.8987330696910124,0.9651506457295346,0.86373667033756,3.2864358920581845e-10,2.1233947131456407e-10,4.404704204709932e-09,4.404704204709932e-09,3.5004200381531083e-09,3.574769704270929e-11,4.682722157853289e-10,0.872376433578766,5.467970813859995e-11
FELIX-CYS-1108_ARTERIAL,0.9611279606516615,0.9120623132325338,0.9552086562634206,0.7731367963697745,3.0788651293650257e-10,3.6356629436378944e-10,2.596053991183661e-09,2.596053991183661e-09,9.62037980333983e-10,3.403779079645239e-11,3.675119440031195e-10,0.9029139549207491,3.894337282948359e-11
FELIX-CYS-1113_VENOUS,0.9625602988529386,0.9276644269444065,0.9461442581043384,0.8280121344399489,4.442410805523511e-10,5.398926690458517e-10,3.9334460766493095e-09,3.9334460766493095e-09,2.1968365505341905e-09,3.658243925717959e-11,5.971539638499985e-10,0.9161536770143998,6.047481193479637e-11
FELIX-CYS-1144_ARTERIAL,0.9625319184352346,0.940758934260312,0.8845765926271508,0.8409373603580635,3.5655072812773404e-10,2.1092151605936988e-10,3.728977873255853e-09,3.728977873255853e-09,3.840540733387585e-09,2.940111977018318e-11,2.7635607920465935e-10,0.9305668234377349,5.2089003435681855e-11
FELIX-CYS-1182_ARTERIAL,0.9627461524793424,0.90552595702315,0.9445338336331734,0.861089712849953,3.919877698279222e-10,3.6284601890324494e-10,1.0448228916014745e-08,1.0448228916014745e-08,1.0,3.620441592370845e-11,6.510204741700983e-10,0.8784327827578301,1.8680729516359515e-10
FELIX-CYS-1201_ARTERIAL,0.9534281641121396,0.4049958236773191,0.9312979258120421,0.8465431119744385,2.7240237091603405e-10,3.6539557711841905e-10,2.016698257539027e-09,2.016698257539027e-09,9.898539955557e-10,4.1636757594060074e-11,7.734490407116899e-10,0.5510940342992477,5.410681550798147e-11
FELIX-CYS-1205_VENOUS,0.965753798949932,0.9264812784630253,0.9613270058704705,0.8291962138499189,3.0476469108905694e-10,2.738705577445471e-10,2.4120215094140683e-09,2.4120215094140683e-09,1.6206930057037164e-09,7.991337389630334e-11,4.886534662689092e-10,0.9110653438719355,6.435358432962204e-11
FELIX-CYS-1211_VENOUS,0.9627049915271079,0.9029465116109503,0.95361035107408,0.821171924284551,6.774333401003731e-10,3.6919032855384816e-10,7.150007098884549e-09,7.150007098884549e-09,5.054589541778258e-09,1.0312212546011834e-10,1.3354700836866051e-09,0.8904140577720837,1.183387137861834e-10
FELIX-CYS-1243_ARTERIAL,0.9412372242655884,0.910488497329285,0.9343452341197164,0.8417220870407535,4.662678520129865e-10,5.574322437999977e-10,5.81327749207489e-09,5.81327749207489e-09,1.010356149522247e-09,7.417968395937182e-11,4.723420131819594e-10,0.9040422183462079,9.309808068130125e-11
FELIX-CYS-1313_ARTERIAL,0.9448426946176237,0.9347498017080879,0.9235704350881242,0.7440915245265507,3.7376889855023684e-10,3.804407785414506e-10,2.926286826072377e-09,2.926286826072377e-09,1.5074316357028675e-09,3.988210848572093e-11,4.907638245760959e-10,0.918631777267203,7.916076918309563e-11
FELIX-CYS-1341_ARTERIAL,0.9618910678942876,0.9200073451481262,0.9477766039625687,0.7783495474595277,6.469435149431378e-10,4.88921048789959e-10,4.030470339645841e-09,4.030470339645841e-09,1.0,2.935101673303369e-11,2.2855575612448157e-10,0.909291337627494,1.1414560869125833e-10
FELIX-CYS-1346_VENOUS,0.9654870506960653,0.919917027702117,0.9340992131984305,0.8165844228482698,4.121603796771299e-10,3.1526049965155504e-10,3.2086247731225543e-09,3.2086247731225543e-09,1.4441475897983282e-09,7.437404940114952e-11,3.295620448897905e-10,0.8921460452808685,1.1102574463734266e-10
FELIX-CYS-1384_VENOUS,0.958982155024448,0.9080644516360489,0.9609421351469698,0.664756992338956,2.842936297518135e-10,3.104462042331059e-10,3.91236305198606e-09,3.91236305198606e-09,2.435341672506596e-09,3.866140304401866e-11,3.300765776570912e-10,0.8950489274438401,4.762721228174225e-11
FELIX-CYS-1404_VENOUS,0.9640406742160276,0.9208793826496393,0.8153710590303627,0.8459200863290454,4.1286827833396574e-10,4.322324371286659e-10,3.3875338638633677e-09,3.3875338638633677e-09,1.0,3.569279355232197e-11,3.9468906379963647e-10,0.89778429915448,5.95126154806886e-11
FELIX-Cys-1021_VENOUS,0.9638396357779799,0.9206366215731361,0.9672327164830902,0.6281204978358993,3.6065408211348557e-10,3.9640539571311136e-10,3.930663087415341e-09,3.930663087415341e-09,1.940504139210789e-09,2.9769524341653834e-11,5.645188602564503e-10,0.9062961974506158,3.924560527558085e-11
FELIX-Cys-1035_VENOUS,0.9637566201999337,0.9058795492297392,0.9680418779910073,0.8663706884195013,5.581603033276623e-10,3.537356249434074e-10,4.645760721738626e-09,4.645760721738626e-09,2.4084198299452813e-09,6.1685938378111e-11,4.0103949420857284e-10,0.9179042045378749,3.267098358195811e-10
FELIX-Cys-1229_VENOUS,1.3897041819896881e-11,1.149044913735563e-10,8.579699400915651e-11,1.6909830019529193e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1253771418880704e-10,1.0
FELIX-Cys-1323_VENOUS,0.971403005812442,0.9409570270503386,0.9656107895843232,0.8731996178673114,2.8812880501801415e-10,2.826343784353829e-10,3.590148619264204e-09,3.590148619264204e-09,1.8082528628110144e-09,5.068459684707927e-11,2.8432030380070275e-10,0.9139389507548649,9.390262109504517e-11
FELIX-Cys-1337_VENOUS,0.9700157226746967,0.9081258423710988,0.9590843925998257,0.879655092625279,5.967726531337889e-10,4.19322374866101e-10,5.119279179280848e-09,5.119279179280848e-09,1.9205285257628753e-09,1.8859064322825871e-10,6.944589118561783e-10,0.898486379000497,1.5324871958346253e-10
FELIX-Cys-1365_ARTERIAL,0.9649362349495372,0.88902649520554,0.9145173446576598,0.8284762228377017,4.435829076666284e-10,2.9866704887128735e-10,2.5798462345084204e-09,2.5798462345084204e-09,1.0,6.682517597963535e-11,6.316401163281244e-10,0.8863844596438125,4.4625763879521786e-11
FELIX0012_ARTERIAL,0.9459421325122869,0.9475984563743801,0.9493518415042684,0.8546305285973819,4.758053002446565e-10,2.2167935406589213e-10,4.494786027981005e-09,4.494786027981005e-09,2.376595283939931e-09,7.01836636244259e-11,5.051882834181098e-10,0.9392540951327458,3.58299396395999e-11
FELIX0017_VENOUS,0.9355785367160518,0.9488856708593237,0.9414806232045134,0.8135431288577467,7.38814350184102e-10,3.02829334380266e-10,2.4037883646936653e-09,2.4037883646936653e-09,7.042055148416907e-10,6.382965142219934e-11,2.7877750480785886e-10,0.9310394253001427,5.967345491642593e-11
