Case_Id,liver,kidney_right,spleen,pancreas,aorta,postcava,adrenal_gland_right,adrenal_gland_left,gall_bladder,stomach,duodenum,kidney_left,colon
FELIX-CYS-1004_ARTERIAL,0.8529327878563072,7.004086183389104e-11,0.6688387497113494,0.10946123199988111,0.8544159813839135,1.1027072564640472e-10,1.8930788999449514e-09,1.8930788999449514e-09,2.422791685361059e-10,0.2470263250610518,4.088591601178908e-10,0.8996875298147617,5.4731691562029795e-11
FELIX-CYS-1046_ARTERIAL,0.9458840358702054,0.8726574414517035,2.420990959433636e-10,0.27156285039256606,0.6322652422625348,3.095151135271986e-10,6.433764354154511e-09,6.433764354154511e-09,1.7937284076725428e-10,0.6413866196129613,2.9951149665909557e-10,9.986408497036893e-11,3.716960862737482e-10
FELIX-CYS-1050_VENOUS,0.9141298106738633,0.774124584794398,5.0871919257571555e-11,0.7181684595545901,0.8931279041572403,1.571059820997991e-10,3.2648796785240143e-09,3.2648796785240143e-09,1.1312319567223197e-10,0.47388683996806286,3.3187199022574864e-10,1.0362737253795588e-10,5.257054177872583e-11
FELIX-CYS-1086_VENOUS,0.847417219566303,0.8690451787279846,5.301678776303528e-11,0.30233253333363186,0.8627561162979746,1.0603914115654356e-10,4.404704204709932e-09,4.404704204709932e-09,2.531299517906084e-10,0.14786257066177827,4.682722157853289e-10,1.1186770970867774e-10,5.467970813859995e-11
FELIX-CYS-1108_ARTERIAL,0.7916688107205105,0.6434471782226768,9.076098547454281e-11,0.37079971404370693,0.9044326405023352,1.4771070560699342e-10,2.596053991183661e-09,2.596053991183661e-09,2.518904376717539e-10,0.26335617131099615,3.675119440031195e-10,9.967078737931904e-11,3.894337282948359e-11
FELIX-CYS-1113_VENOUS,0.9230375329833561,0.9070129936132849,1.0025575241438352e-10,0.5384331357745501,0.8303712281764233,2.3425732224337527e-10,3.9334460766493095e-09,3.9334460766493095e-09,2.232740912245972e-10,0.26653890074170483,5.971539638499985e-10,1.197323741828586e-10,6.047481193479637e-11
FELIX-CYS-1144_ARTERIAL,0.935908538977821,0.8510937582550412,0.8245302943967143,0.5164749891137242,0.8816631167071728,9.723171580946554e-11,3.728977873255853e-09,3.728977873255853e-09,1.9648835999094418e-10,0.2120853313098106,2.7635607920465935e-10,5.372193632909833e-11,5.2089003435681855e-11
FELIX-CYS-1182_ARTERIAL,0.8406626281578004,0.9121046192905957,1.4919872820778033e-10,0.6221665642303195,0.8291177628488959,2.113740368823653e-10,1.0448228916014745e-08,1.0448228916014745e-08,3.807043790975386e-10,0.3133185439218486,6.510204741700983e-10,0.863276989013263,1.8680729516359515e-10
FELIX-CYS-1201_ARTERIAL,0.862516809524106,2.3005990299224976e-11,0.846688648806627,2.4688553886549046e-10,0.8033694999362299,3.0243551309623335e-10,2.016698257539027e-09,2.016698257539027e-09,3.5140985622016187e-10,0.42389598796993594,7.734490407116899e-10,4.708177727837752e-11,5.410681550798147e-11
FELIX-CYS-1205_VENOUS,0.861014566141317,0.6272315158861282,8.005501379907833e-11,0.46406919176558376,0.8912641890625986,1.4686164015860153e-10,2.4120215094140683e-09,2.4120215094140683e-09,2.69944148482794e-10,0.7690385850859355,4.886534662689092e-10,1.0799812514088377e-10,6.435358432962204e-11
FELIX-CYS-1211_VENOUS,0.942161323775043,0.8847515911269445,0.9319085612972041,0.5485500571444091,0.8287643138980338,0.8104634389543747,7.150007098884549e-09,7.150007098884549e-09,2.5760581152074865e-10,0.6719760140244978,1.3354700836866051e-09,2.095860465554353e-10,1.183387137861834e-10
