Case_Id,liver,kidney_right,spleen,pancreas,aorta,postcava,adrenal_gland_right,adrenal_gland_left,gall_bladder,stomach,duodenum,kidney_left,colon
FELIX-CYS-1004_ARTERIAL,1.5419874707112282e-11,0.820293460810907,0.0006577510124460352,0.3681226794680362,3.7683234714668867e-10,5.642035417515114e-10,1.8930788999449514e-09,1.8930788999449514e-09,7.160707759227856e-10,2.174130929161072e-11,4.088591601178908e-10,6.744439040944515e-11,5.4731691562029795e-11
FELIX-CYS-1046_ARTERIAL,3.1488912280660396e-11,0.8073550466969527,4.0275322085667493e-10,0.12900267825768966,3.7528944184128656e-10,5.099231033359561e-10,6.433764354154511e-09,6.433764354154511e-09,8.96523281905898e-10,8.537230863068175e-11,2.9951149665909557e-10,1.0965777998815063e-10,3.716960862737482e-10
FELIX-CYS-1050_VENOUS,0.000561468138735663,0.8465562327945391,0.016279284575753925,0.4127859567957101,4.95083817445227e-10,4.798786864377268e-10,3.2648796785240143e-09,3.2648796785240143e-09,1.054852319562392e-09,5.200175557656418e-11,3.3187199022574864e-10,0.8481292421537387,5.257054177872583e-11
FELIX-CYS-1086_VENOUS,2.085148281106239e-11,0.678195099662534,0.013704441725283388,0.3327760379011551,3.2864358920581845e-10,2.1233947131456407e-10,4.404704204709932e-09,4.404704204709932e-09,3.5004200381531083e-09,3.574769704270929e-11,4.682722157853289e-10,1.348828676994806e-10,5.467970813859995e-11
FELIX-CYS-1108_ARTERIAL,2.2480184202054724e-05,0.804231719938149,4.017755054562937e-05,0.31704940606136994,3.0788651293650257e-10,3.6356629436378944e-10,2.596053991183661e-09,2.596053991183661e-09,9.62037980333983e-10,3.403779079645239e-11,3.675119440031195e-10,9.291461053513105e-11,3.894337282948359e-11
FELIX-CYS-1113_VENOUS,0.0002433021994559471,0.8456988239592004,0.0018241247934929219,0.10885062540857807,4.442410805523511e-10,5.398926690458517e-10,3.9334460766493095e-09,3.9334460766493095e-09,2.1968365505341905e-09,3.658243925717959e-11,5.971539638499985e-10,0.7542233908652707,6.047481193479637e-11
FELIX-CYS-1144_ARTERIAL,1.111509031331978e-11,0.6688117960470081,6.207451797199604e-11,0.05018635347221866,3.5655072812773404e-10,2.1092151605936988e-10,3.728977873255853e-09,3.728977873255853e-09,3.840540733387585e-09,2.940111977018318e-11,2.7635607920465935e-10,6.574959136196664e-11,5.2089003435681855e-11
FELIX-CYS-1182_ARTERIAL,2.0676519165465158e-11,0.7052544887477146,0.0005583706440496405,0.5472980957809089,3.919877698279222e-10,3.6284601890324494e-10,1.0448228916014745e-08,1.0448228916014745e-08,1.0,3.620441592370845e-11,6.510204741700983e-10,0.6756544015282191,1.8680729516359515e-10
FELIX-CYS-1201_ARTERIAL,7.400522352674537e-07,2.410196674400742e-11,0.00018004539320383097,0.2412752872411777,2.7240237091603405e-10,3.6539557711841905e-10,2.016698257539027e-09,2.016698257539027e-09,9.898539955557e-10,4.1636757594060074e-11,7.734490407116899e-10,0.17955795664732283,5.410681550798147e-11
FELIX-CYS-1205_VENOUS,1.6028016973413078e-11,1.133287019542029e-10,0.00039466936927454107,0.5180857835312187,3.0476469108905694e-10,2.738705577445471e-10,2.4120215094140683e-09,2.4120215094140683e-09,1.6206930057037164e-09,7.991337389630334e-11,4.886534662689092e-10,0.7311711539120035,6.435358432962204e-11
FELIX-CYS-1211_VENOUS,0.00017252998445352514,0.8914359011717193,0.005067076031409985,0.4526009995369958,6.774333401003731e-10,3.6919032855384816e-10,7.150007098884549e-09,7.150007098884549e-09,5.054589541778258e-09,1.0312212546011834e-10,1.3354700836866051e-09,0.8451401930035013,1.183387137861834e-10
FELIX-CYS-1243_ARTERIAL,2.3432368676841338e-11,0.7467409868953191,1.1953758080805763e-10,0.41572556790931614,4.662678520129865e-10,5.574322437999977e-10,5.81327749207489e-09,5.81327749207489e-09,1.010356149522247e-09,7.417968395937182e-11,4.723420131819594e-10,1.581717871896398e-10,9.309808068130125e-11
FELIX-CYS-1313_ARTERIAL,1.558974282200552e-11,0.6479483576125914,1.0206654125049207e-10,0.03079723434894073,3.7376889855023684e-10,3.804407785414506e-10,2.926286826072377e-09,2.926286826072377e-09,1.5074316357028675e-09,3.988210848572093e-11,4.907638245760959e-10,1.2395828554237847e-10,7.916076918309563e-11
FELIX-CYS-1341_ARTERIAL,2.3362799273992538e-11,1.6406002625550053e-10,1.6096294469458684e-10,0.1448220339598339,6.469435149431378e-10,4.88921048789959e-10,4.030470339645841e-09,4.030470339645841e-09,1.0,2.935101673303369e-11,2.2855575612448157e-10,0.45501414458297357,1.1414560869125833e-10
FELIX-CYS-1346_VENOUS,0.0013075502194161226,0.5450310123562011,0.0006101078414574688,0.08896734781869547,4.121603796771299e-10,3.1526049965155504e-10,3.2086247731225543e-09,3.2086247731225543e-09,1.4441475897983282e-09,7.437404940114952e-11,3.295620448897905e-10,0.7829739361119302,1.1102574463734266e-10
FELIX-CYS-1384_VENOUS,0.0004115639409214269,0.10777791986063119,0.0007028683952325622,0.03861561369808934,2.842936297518135e-10,3.104462042331059e-10,3.91236305198606e-09,3.91236305198606e-09,2.435341672506596e-09,3.866140304401866e-11,3.300765776570912e-10,1.3762370649024818e-10,4.762721228174225e-11
FELIX-CYS-1404_VENOUS,0.0001272697711408361,0.8954773002017546,3.199969279270929e-10,0.5693269459672385,4.1286827833396574e-10,4.322324371286659e-10,3.3875338638633677e-09,3.3875338638633677e-09,1.0,3.569279355232197e-11,3.9468906379963647e-10,0.8835231787574205,5.95126154806886e-11
FELIX-Cys-1021_VENOUS,4.8791751970901475e-05,0.8119768920649063,0.005843908347798388,0.3615270821168393,3.6065408211348557e-10,3.9640539571311136e-10,3.930663087415341e-09,3.930663087415341e-09,1.940504139210789e-09,2.9769524341653834e-11,5.645188602564503e-10,0.8164353923255903,3.924560527558085e-11
FELIX-Cys-1035_VENOUS,3.6292465706259666e-05,2.0632467659508066e-10,0.011223314020867505,0.43789163530389613,5.581603033276623e-10,3.537356249434074e-10,4.645760721738626e-09,4.645760721738626e-09,2.4084198299452813e-09,6.1685938378111e-11,4.0103949420857284e-10,0.8061198533570195,3.267098358195811e-10
FELIX-Cys-1229_VENOUS,5.050502499746212e-07,1.8818782647046435e-10,4.166649305627893e-06,4.12082249919305e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4727258334389865e-10,1.0
FELIX-Cys-1323_VENOUS,0.0009531030573981146,0.7439288509215546,0.0006909582725299911,0.5259691632774796,2.8812880501801415e-10,2.826343784353829e-10,3.590148619264204e-09,3.590148619264204e-09,1.8082528628110144e-09,5.068459684707927e-11,2.8432030380070275e-10,0.6940000638902193,9.390262109504517e-11
FELIX-Cys-1337_VENOUS,0.0002545670239570404,0.8089829142075533,1.79725846161914e-10,0.4954543255043658,5.967726531337889e-10,4.19322374866101e-10,5.119279179280848e-09,5.119279179280848e-09,1.9205285257628753e-09,1.8859064322825871e-10,6.944589118561783e-10,0.8022891693410307,1.5324871958346253e-10
FELIX-Cys-1365_ARTERIAL,3.570049405632745e-05,1.0791642519201933e-10,0.0003854796326840547,0.19803085528268397,4.435829076666284e-10,2.9866704887128735e-10,2.5798462345084204e-09,2.5798462345084204e-09,1.0,6.682517597963535e-11,6.316401163281244e-10,1.0198430868386352e-10,4.4625763879521786e-11
FELIX0012_ARTERIAL,1.529645836487137e-11,0.7054621664714444,0.00037279448865682385,0.406896331295941,4.758053002446565e-10,2.2167935406589213e-10,4.494786027981005e-09,4.494786027981005e-09,2.376595283939931e-09,7.01836636244259e-11,5.051882834181098e-10,7.399410562407043e-11,3.58299396395999e-11
FELIX0017_VENOUS,1.6310395968847954e-11,0.5786602809695645,0.0041803497814607935,0.004339282502947746,7.38814350184102e-10,3.02829334380266e-10,2.4037883646936653e-09,2.4037883646936653e-09,7.042055148416907e-10,6.382965142219934e-11,2.7877750480785886e-10,0.570971107278978,5.967345491642593e-11
FELIX0067_VENOUS,0.0013283676981224184,0.5984299988548204,0.013971875127076525,0.1626138281209505,4.036066286723737e-10,2.106913203159756e-10,1.6419282778767762e-09,1.6419282778767762e-09,1.096888127176623e-09,3.978064949708187e-11,2.2747693947350987e-10,0.3633202875354507,3.203202177049851e-11
FELIX0121_ARTERIAL,1.5519826500514718e-11,0.5132411429618943,9.248392397336056e-11,0.07200832725772777,5.079881128201021e-10,3.418978749878121e-10,2.677591231751972e-09,2.677591231751972e-09,2.0279450791345844e-09,5.189472842700359e-11,1.9187597133528869e-10,9.721432354898248e-11,5.662934226397149e-11
FELIX0124_VENOUS,0.004278194418739934,0.8103789057714206,0.028984925249597095,0.42157061101805404,6.053671850998752e-10,3.030808164078617e-10,3.798381874887447e-09,3.798381874887447e-09,7.505084689248153e-10,5.916505096423265e-11,2.022723272842569e-10,0.7203673411215248,5.7329653530685145e-11
FELIX0130_VENOUS,1.3742476165891169e-11,0.5905073041459282,1.690628507768332e-10,0.4454373405860844,4.687990771836431e-10,2.9156729073003573e-10,2.639427765092439e-09,2.639427765092439e-09,8.524131809908338e-10,4.121471299140448e-11,2.80151281613629e-10,0.5623996279557216,4.1012163795978756e-11
FELIX0145_VENOUS,1.3947524038936447e-05,0.7317290391228841,1.29926994005178e-10,0.21575786193835905,3.6767679725283783e-10,2.2142558213418268e-10,3.0706872103706713e-09,3.0706872103706713e-09,1.335006539749811e-09,5.566630056486453e-11,2.748543958082356e-10,0.820980204958793,2.346602038062669e-11
FELIX0151_VENOUS,0.000866258036778896,0.29589448730130025,0.00025851380917982924,0.04807916177834978,6.019636049180645e-10,2.5016761223765733e-10,2.37006137897267e-09,2.37006137897267e-09,1.0,3.177942536342063e-11,2.572962791723046e-10,0.44882563394371877,1.4157167205466202e-10
FELIX0163_ARTERIAL,0.00027817034305178116,0.8033707904170477,7.38159370029832e-11,0.2801284983761605,4.864310068214988e-10,2.724365085974324e-10,1.8847654373885344e-09,1.8847654373885344e-09,1.2492972687247208e-09,2.3639415699275445e-11,3.974941964267282e-10,7.130521340428878e-11,6.764709861136423e-11
FELIX0179_VENOUS,1.1195928792573691e-05,0.6187606207716643,6.334983807380067e-11,0.025569839584776845,6.1360233622119e-10,2.868930060399892e-10,2.2987448800084026e-09,2.2987448800084026e-09,1.0666211563595994e-09,4.940887224993138e-11,3.2190464530231524e-10,0.26950733628224155,4.43135716940718e-11
FELIX0187_VENOUS,1.2931590206532605e-11,0.6164366459291073,4.886257693173983e-11,0.053601103435812765,3.840481748555794e-10,2.0317935043497056e-10,1.5494747256663135e-09,1.5494747256663135e-09,4.653630294829058e-10,5.714135513825686e-11,3.285755591276399e-10,0.46279203276546366,2.1077907317467896e-11
FELIX0217_ARTERIAL,5.789540805361655e-06,0.8147743655505753,1.5316093536100633e-10,0.31961173225018846,4.6107809258398396e-10,5.500368521665749e-10,9.277298364622895e-09,9.277298364622895e-09,8.40618694653145e-10,5.2420874618576757e-11,7.00245785780637e-10,8.714748840178936e-11,5.94115288036353e-11
FELIX0226_VENOUS,0.0010050028374526032,0.3376647041407187,0.008235227543710843,0.05819872858687914,7.267124974734296e-10,2.445777120624315e-10,1.0,1.0,1.5600380624950656e-09,3.150703835630595e-11,4.05237286529006e-10,0.4510299668552813,2.2554983405722428e-10
FELIX0228_ARTERIAL,1.824695316904421e-11,9.122173265726885e-11,0.00019177802103246663,0.5298205227587031,5.727901751748212e-10,3.0779080065381206e-10,1.4035087522314561e-08,1.4035087522314561e-08,1.2488136254947629e-09,5.590327391620864e-11,5.785162212601725e-10,0.7595616659513345,1.032966079353181e-10
FELIX023_VENOUS,0.0026298122698437273,0.5518030620153301,0.0003862743435580753,0.5353308468321608,4.21217571334789e-10,2.9744996139175353e-10,1.4404863061026399e-09,1.4404863061026399e-09,1.7710399515247949e-09,4.005410508354469e-11,1.8240053695391095e-10,0.37288297959327404,5.1332409689539924e-11
FELIX0247_VENOUS,9.88805617747369e-05,0.3187629493134796,0.0008659222140960011,0.1417149069545258,5.531952554914613e-10,1.1844425834132506e-10,1.4129881854222176e-09,1.4129881854222176e-09,6.794816909041307e-10,9.37103487998787e-11,3.0796047009920627e-10,0.44906672081695476,2.7473033156723684e-11
FELIX0253_VENOUS,0.0003093678941137619,0.3350790948542928,1.1208462836524743e-10,0.0030488086344293746,2.8166792470406055e-10,2.2761155806311407e-10,2.3422494909302257e-09,2.3422494909302257e-09,5.47438262350241e-10,2.9458178664753317e-11,3.091008564229301e-10,0.4838481429936085,2.6403846300401213e-11
FELIX0291_VENOUS,5.924209347113305e-05,0.33043282840620947,5.524709261869854e-11,0.0601134114950579,4.94222538280391e-10,2.94287294942294e-10,1.9511052973462917e-09,1.9511052973462917e-09,1.5442584447089716e-09,1.946850210475011e-11,3.622453413936863e-10,0.36363853122725487,1.108153572231871e-10
FELIX0301_VENOUS,0.00025983856670409855,0.8222535632981045,0.001875952981774192,0.3737216478293504,5.01137582060709e-10,2.703586847941195e-10,3.173494959939402e-09,3.173494959939402e-09,7.198491191063439e-10,2.578233930317086e-11,3.493339946169958e-10,0.7468906279502202,8.694654178068721e-11
FELIX0305_ARTERIAL,0.00015515479792698784,0.8045141803785734,3.2055482462110516e-05,0.33173379444572265,3.2722084778758757e-10,2.024656263572859e-10,2.4210143991743996e-09,2.4210143991743996e-09,1.7423424020936991e-09,2.3969847848419242e-11,1.7344098233964238e-10,0.6924242969895944,3.0106770650531847e-11
FELIX030_ARTERIAL,1.0857628906538425e-11,0.6650126922079154,1.4846469901304396e-05,0.47559344021703964,3.6377261288272606e-10,2.0795943954765508e-10,1.3342584173903795e-09,1.3342584173903795e-09,4.910988333990921e-10,4.5166812327596396e-11,2.649764700192435e-10,8.732816000550795e-11,2.7771783700357682e-11
FELIX0338_VENOUS,1.9285078979740542e-11,0.668818460211337,0.0007976635681344366,0.1798386769917601,8.805529865006358e-10,4.1820881148476306e-10,3.2487573397590807e-09,3.2487573397590807e-09,2.3842449039524943e-09,4.735525628914006e-11,2.754001563514436e-10,0.5454889729534499,1.435645056652615e-10
FELIX0359_VENOUS,1.8218370858290803e-11,0.6580547927033504,0.007119575936013985,0.5539060599439737,4.670540099075916e-10,6.161353522346396e-10,1.9121190066310015e-09,1.9121190066310015e-09,7.880841667680005e-10,7.663387247229809e-11,3.479301633365354e-10,1.0160908140293599e-10,3.7132591571305255e-11
FELIX0366_ARTERIAL,2.3060927662180913e-11,0.811867321890434,9.644364644839735e-05,0.23927744116534147,5.256739136813608e-10,3.5466652467426843e-10,4.013324220358293e-09,4.013324220358293e-09,9.848529604829197e-10,5.695049464027787e-11,1.9578820411394323e-10,1.2033071692796514e-10,8.559738413661364e-11
FELIX0406_ARTERIAL,1.9263008839231065e-11,0.795282067664661,2.0464461412116505e-10,0.5533060991104134,5.16670369204033e-10,3.9077612030012543e-10,9.426847573276326e-09,9.426847573276326e-09,1.556492907752124e-09,1.5845198743817173e-10,7.102676283380678e-10,0.7690832807302901,1.1147712766790105e-10
FELIX0418_ARTERIAL,6.537924320883995e-05,0.5255936213736927,1.3347196619776117e-10,0.1693195681326611,4.569339728321069e-10,2.848167061275988e-10,9.658103055262672e-09,9.658103055262672e-09,4.687573221358584e-09,3.3455747913834865e-11,5.750828115941969e-10,9.163937339822262e-11,4.475442352521848e-11
