Case_Id,liver,kidney_right,spleen,pancreas,aorta,postcava,adrenal_gland_right,adrenal_gland_left,gall_bladder,stomach,duodenum,kidney_left,colon
FELIX-CYS-1004_ARTERIAL,0.9600082400231765,0.9029647081624953,0.9589924354657043,0.8561355152918916,3.7683234714668867e-10,5.642035417515114e-10,1.8930788999449514e-09,1.8930788999449514e-09,7.160707759227856e-10,2.174130929161072e-11,4.088591601178908e-10,0.9046680156903568,5.4731691562029795e-11
FELIX-CYS-1046_ARTERIAL,0.9559128231907961,0.9239707914053061,0.9019117650211289,0.7095113250193585,3.7528944184128656e-10,5.099231033359561e-10,6.433764354154511e-09,6.433764354154511e-09,8.96523281905898e-10,8.537230863068175e-11,2.9951149665909557e-10,0.9206060276599911,3.716960862737482e-10
FELIX-CYS-1050_VENOUS,0.9730296190687827,0.9483857963980084,0.9585291077918309,0.8926618374047028,4.95083817445227e-10,4.798786864377268e-10,3.2648796785240143e-09,3.2648796785240143e-09,1.054852319562392e-09,5.200175557656418e-11,3.3187199022574864e-10,0.9340892559889875,5.257054177872583e-11
FELIX-CYS-1086_VENOUS,0.9667807851894059,0.9021243874716958,0.9655390094778071,0.8729685995828802,3.2864358920581845e-10,2.1233947131456407e-10,4.404704204709932e-09,4.404704204709932e-09,3.5004200381531083e-09,3.574769704270929e-11,4.682722157853289e-10,0.878088824847202,5.467970813859995e-11
FELIX-CYS-1108_ARTERIAL,0.9627873253262328,0.9147620664020736,0.955901563394877,0.7697032333806441,3.0788651293650257e-10,3.6356629436378944e-10,2.596053991183661e-09,2.596053991183661e-09,9.62037980333983e-10,3.403779079645239e-11,3.675119440031195e-10,0.8996941349382095,3.894337282948359e-11
FELIX-CYS-1113_VENOUS,0.9618420409166485,0.9244387805209736,0.9478670297332195,0.8478452761028658,4.442410805523511e-10,5.398926690458517e-10,3.9334460766493095e-09,3.9334460766493095e-09,2.1968365505341905e-09,3.658243925717959e-11,5.965554882528945e-10,0.9155304655409847,6.047459250341986e-11
FELIX-CYS-1144_ARTERIAL,0.963611361465921,0.941890349411507,0.9447593109518234,0.8111789129475698,3.5655072812773404e-10,2.1092151605936988e-10,3.728977873255853e-09,3.728977873255853e-09,3.840540733387585e-09,2.940111977018318e-11,2.7635607920465935e-10,0.9292293604873985,5.2089003435681855e-11
FELIX-CYS-1182_ARTERIAL,0.9591895972601167,0.9036571383027233,0.9459190838660899,0.8623183426063544,3.919877698279222e-10,3.6284601890324494e-10,1.0448228916014745e-08,1.0448228916014745e-08,1.0,3.620441592370845e-11,6.510204741700983e-10,0.8774171042266413,1.8680729516359515e-10
FELIX-CYS-1201_ARTERIAL,0.9543154053272319,0.84726768699654,0.9374327274081046,0.8599524558209959,2.7240237091603405e-10,3.6539557711841905e-10,2.016698257539027e-09,2.016698257539027e-09,9.898539955557e-10,4.1636757594060074e-11,7.734490407116899e-10,2.4972810851561046e-11,5.410681550798147e-11
FELIX-CYS-1205_VENOUS,0.9638093367271687,0.9251979221756292,0.9612219163999073,0.8357964586597472,3.0476469108905694e-10,2.738705577445471e-10,2.4120215094140683e-09,2.4120215094140683e-09,1.6206930057037164e-09,7.991337389630334e-11,4.886534662689092e-10,0.9109974729959212,6.435358432962204e-11
FELIX-CYS-1211_VENOUS,0.9639544999191462,0.9042041767857197,0.9532297730761607,0.8231479118628442,6.774333401003731e-10,3.6919032855384816e-10,7.150007098884549e-09,7.150007098884549e-09,5.054589541778258e-09,1.0312212546011834e-10,1.3354700836866051e-09,0.8919820036343555,1.183387137861834e-10
FELIX-CYS-1243_ARTERIAL,0.9403714773205002,0.9067790445363483,0.9375820714670113,0.8205420758673875,4.662678520129865e-10,5.574322437999977e-10,5.81327749207489e-09,5.81327749207489e-09,1.010356149522247e-09,7.417968395937182e-11,4.723420131819594e-10,0.8976285028095783,9.309808068130125e-11
FELIX-CYS-1313_ARTERIAL,0.9466351969281295,0.9343345511731384,0.9480760999908353,0.7562547012806934,3.7376889855023684e-10,3.804407785414506e-10,2.926286826072377e-09,2.926286826072377e-09,1.5074316357028675e-09,3.988210848572093e-11,4.907638245760959e-10,0.9130319724474871,7.916076918309563e-11
FELIX-CYS-1341_ARTERIAL,0.9620849298038788,0.9211942299379597,0.9478683122333905,0.7437687015007044,6.469435149431378e-10,4.88921048789959e-10,4.030470339645841e-09,4.030470339645841e-09,1.0,2.935101673303369e-11,2.2855575612448157e-10,0.9093615393151658,1.1414560869125833e-10
FELIX-CYS-1346_VENOUS,0.965267495927009,0.9223836199835659,0.9397897614755233,0.8282808232837676,4.121603796771299e-10,3.1526049965155504e-10,3.2086247731225543e-09,3.2086247731225543e-09,1.4441475897983282e-09,7.437404940114952e-11,3.295620448897905e-10,0.892685319267207,1.1102574463734266e-10
FELIX-CYS-1384_VENOUS,0.9607880503735771,0.9087902940109418,0.9594797236449937,0.7835624668149662,2.842936297518135e-10,3.104462042331059e-10,3.91236305198606e-09,3.91236305198606e-09,2.435341672506596e-09,3.866140304401866e-11,3.300765776570912e-10,0.89605746230737,4.762721228174225e-11
FELIX-CYS-1404_VENOUS,0.9647207298675319,0.9218231348660886,0.9122070293373151,0.8413880624162665,4.1286827833396574e-10,4.322324371286659e-10,3.3875338638633677e-09,3.3875338638633677e-09,1.0,3.569279355232197e-11,3.9468906379963647e-10,0.8984383762097494,5.95126154806886e-11
FELIX-Cys-1021_VENOUS,0.9661618314930304,0.9163665238336003,0.9660500134511995,0.8487643539887829,3.6065408211348557e-10,3.9640539571311136e-10,3.930663087415341e-09,3.930663087415341e-09,1.940504139210789e-09,2.9769524341653834e-11,5.645188602564503e-10,0.906491362974774,3.924560527558085e-11
FELIX-Cys-1035_VENOUS,0.9640478014166045,0.8772083739618295,0.9679153285456772,0.8749433504982327,5.581603033276623e-10,3.537356249434074e-10,4.645760721738626e-09,4.645760721738626e-09,2.4084198299452813e-09,6.1685938378111e-11,4.0103949420857284e-10,0.9196306086019529,3.267098358195811e-10
FELIX-Cys-1229_VENOUS,1.3855433789192965e-11,1.1594807843702594e-10,8.506070356386819e-11,1.8915749249249852e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1120081308797978e-10,1.0
FELIX-Cys-1323_VENOUS,0.9723625681322144,0.9389141090274512,0.9656389090701516,0.858944910913384,2.8812880501801415e-10,2.826343784353829e-10,3.590148619264204e-09,3.590148619264204e-09,1.8082528628110144e-09,5.068459684707927e-11,2.8432030380070275e-10,0.9120073696941391,9.390262109504517e-11
FELIX-Cys-1337_VENOUS,0.9707071591312766,0.9116383448497613,0.9559806464083258,0.878147373293509,5.967726531337889e-10,4.19322374866101e-10,5.119279179280848e-09,5.119279179280848e-09,1.9205285257628753e-09,1.8859064322825871e-10,6.944589118561783e-10,0.8994683721817763,1.5324871958346253e-10
FELIX-Cys-1365_ARTERIAL,0.9645488734233476,0.8884830447414259,0.9325452346335644,0.8375910215650207,4.435829076666284e-10,2.9866704887128735e-10,2.5798462345084204e-09,2.5798462345084204e-09,1.0,6.682517597963535e-11,6.316401163281244e-10,0.8870789760204191,4.4625763879521786e-11
FELIX0012_ARTERIAL,0.9494411223270897,0.944041042251728,0.9416549419651821,0.8437974538660503,4.758053002446565e-10,2.2167935406589213e-10,4.494786027981005e-09,4.494786027981005e-09,2.376595283939931e-09,7.01836636244259e-11,5.051882834181098e-10,0.9352905985009767,3.58299396395999e-11
FELIX0017_VENOUS,0.9337824510058715,0.9514984027943455,0.9426003702206573,0.837082296592263,7.38814350184102e-10,3.02829334380266e-10,2.4037883646936653e-09,2.4037883646936653e-09,7.042055148416907e-10,6.382965142219934e-11,2.7877750480785886e-10,0.9290825461805496,5.967345491642593e-11
FELIX0067_VENOUS,0.941717671488825,0.9364924934420166,0.9482993884903599,0.843792494365948,4.036066286723737e-10,2.106913203159756e-10,1.6419282778767762e-09,1.6419282778767762e-09,1.096888127176623e-09,3.978064949708187e-11,2.2747693947350987e-10,0.921629069577852,3.203202177049851e-11
FELIX0121_ARTERIAL,0.9519647865019103,0.9402926218462259,0.9486569624616339,0.8278965700094874,5.079881128201021e-10,3.418978749878121e-10,2.677591231751972e-09,2.677591231751972e-09,2.0279450791345844e-09,5.189472842700359e-11,1.9187597133528869e-10,0.9325745869714218,5.662934226397149e-11
FELIX0124_VENOUS,0.9643416391383622,0.9394276328054865,0.950494659817185,0.8727876976233936,6.053671850998752e-10,3.030808164078617e-10,3.798381874887447e-09,3.798381874887447e-09,7.505084689248153e-10,5.916505096423265e-11,2.022723272842569e-10,0.9305258210608572,5.7329653530685145e-11
FELIX0130_VENOUS,0.9535396330754566,0.9430148705258213,0.9319218659696137,0.8502125085507264,4.687990771836431e-10,2.9156729073003573e-10,2.639427765092439e-09,2.639427765092439e-09,8.524131809908338e-10,4.121471299140448e-11,2.80151281613629e-10,0.9454227640672779,4.1012163795978756e-11
FELIX0145_VENOUS,0.953664764107689,0.9254846563658162,0.9485824930295461,0.8530023115448011,3.6767679725283783e-10,2.2142558213418268e-10,3.0706872103706713e-09,3.0706872103706713e-09,1.335006539749811e-09,5.566630056486453e-11,2.748543958082356e-10,0.9182665682882548,2.346602038062669e-11
FELIX0151_VENOUS,0.9675180942523965,0.9367396957706571,0.9581013280881568,0.8564221303546613,6.019636049180645e-10,2.5016761223765733e-10,2.37006137897267e-09,2.37006137897267e-09,1.0,3.177942536342063e-11,2.572962791723046e-10,0.9396698363217558,1.4157167205466202e-10
FELIX0163_ARTERIAL,0.9641607362697997,0.9496658934999485,0.9675253548743228,0.8873732226227814,4.864310068214988e-10,2.724365085974324e-10,1.8847654373885344e-09,1.8847654373885344e-09,1.2492972687247208e-09,2.3639415699275445e-11,3.974941964267282e-10,0.9447147396208906,6.764709861136423e-11
FELIX0179_VENOUS,0.9516687607206563,0.9229464896718712,0.96180158771367,0.8234784307770832,6.1360233622119e-10,2.868930060399892e-10,2.2987448800084026e-09,2.2987448800084026e-09,1.0666211563595994e-09,4.940887224993138e-11,3.2190464530231524e-10,0.9056359885226848,4.43135716940718e-11
FELIX0187_VENOUS,0.9438372308775392,0.9092667544900894,0.9626938596153624,0.8338162703051288,3.840481748555794e-10,2.0317935043497056e-10,1.5494747256663135e-09,1.5494747256663135e-09,4.653630294829058e-10,5.714135513825686e-11,3.285755591276399e-10,0.9054068091563069,2.1077907317467896e-11
FELIX0217_ARTERIAL,0.9692278672467409,0.9242143911072942,0.941143461626174,0.8639163266589871,4.6107809258398396e-10,5.500368521665749e-10,9.277298364622895e-09,9.277298364622895e-09,8.40618694653145e-10,5.2420874618576757e-11,7.00245785780637e-10,0.9199436336958321,5.94115288036353e-11
FELIX0226_VENOUS,0.9638242489743936,0.8993300102482851,0.9463824961214488,0.8284157298102341,7.267124974734296e-10,2.445777120624315e-10,1.0,1.0,1.5600380624950656e-09,3.150703835630595e-11,4.049665091056855e-10,0.8882227366592489,2.2551778879232568e-10
FELIX0228_ARTERIAL,0.9687061678781627,0.8996601152733605,0.9439335088400029,0.8501013752094992,5.727901751748212e-10,3.0779080065381206e-10,1.4035087522314561e-08,1.4035087522314561e-08,1.2488136254947629e-09,5.590327391620864e-11,5.785162212601725e-10,0.8930709887169093,1.032966079353181e-10
FELIX023_VENOUS,0.9411417459053346,0.950292990456789,0.9570755481996549,0.8907079870634403,4.21217571334789e-10,2.9744996139175353e-10,1.4404863061026399e-09,1.4404863061026399e-09,1.7710399515247949e-09,4.005410508354469e-11,1.8240053695391095e-10,0.92700098707676,5.1332409689539924e-11
FELIX0247_VENOUS,0.9464784299142321,0.948511648153191,0.9261450363327577,0.7910908421067878,5.531952554914613e-10,1.1844425834132506e-10,1.4129881854222176e-09,1.4129881854222176e-09,6.794816909041307e-10,9.37103487998787e-11,3.0796047009920627e-10,0.9249568597737131,2.7473033156723684e-11
FELIX0253_VENOUS,0.9641473494724293,0.9273749920121799,0.9605874844752728,0.823657765429523,2.8166792470406055e-10,2.2761155806311407e-10,2.3422494909302257e-09,2.3422494909302257e-09,5.47438262350241e-10,2.9458178664753317e-11,3.091008564229301e-10,0.9174501363082739,2.6403846300401213e-11
FELIX0291_VENOUS,0.9633397732170783,0.9408388758502145,0.9594905174352393,0.8024010795252655,4.94222538280391e-10,2.94287294942294e-10,1.9511052973462917e-09,1.9511052973462917e-09,1.5442584447089716e-09,1.946850210475011e-11,3.622453413936863e-10,0.9396804238082613,1.108153572231871e-10
FELIX0301_VENOUS,0.9556319551636144,0.9113042505939682,0.9548716249815944,0.868362740812302,5.01137582060709e-10,2.703586847941195e-10,3.173494959939402e-09,3.173494959939402e-09,7.198491191063439e-10,2.578233930317086e-11,3.493339946169958e-10,0.9018528163266657,8.694654178068721e-11
FELIX0305_ARTERIAL,0.9625005139011712,0.9445833170585578,0.9405805281283335,0.8760226866013431,3.2722084778758757e-10,2.024656263572859e-10,2.4210143991743996e-09,2.4210143991743996e-09,1.7423424020936991e-09,2.3969847848419242e-11,1.7344098233964238e-10,0.92846226044205,3.0106770650531847e-11
FELIX030_ARTERIAL,0.9459506845740234,0.9167802932036769,0.9325464591383947,0.8274756750673457,3.6377261288272606e-10,2.0795943954765508e-10,1.3342584173903795e-09,1.3342584173903795e-09,4.910988333990921e-10,4.5166812327596396e-11,2.649764700192435e-10,0.9260980586246566,2.7771783700357682e-11
FELIX0338_VENOUS,0.9627254785313775,0.9431621941630042,0.9573216031815985,0.8730782122373452,8.805529865006358e-10,4.1820881148476306e-10,3.2487573397590807e-09,3.2487573397590807e-09,2.3842449039524943e-09,4.735525628914006e-11,2.754001563514436e-10,0.939458089379346,1.435645056652615e-10
FELIX0359_VENOUS,0.9647842794697291,0.925994550969001,0.9598192201151602,0.8588299121359751,4.670540099075916e-10,6.161353522346396e-10,1.9121190066310015e-09,1.9121190066310015e-09,7.880841667680005e-10,7.663387247229809e-11,3.479301633365354e-10,0.896206343280812,3.7132591571305255e-11
FELIX0366_ARTERIAL,0.9597780563034367,0.9207958529546502,0.9502500233575825,0.8393070196452718,5.256739136813608e-10,3.5466652467426843e-10,4.013324220358293e-09,4.013324220358293e-09,9.848529604829197e-10,5.695049464027787e-11,1.9578820411394323e-10,0.9019833869596691,8.559738413661364e-11
FELIX0406_ARTERIAL,0.9706945793254466,0.9234291620568071,0.9452500781144342,0.8420216676314639,5.16670369204033e-10,3.9077612030012543e-10,9.426847573276326e-09,9.426847573276326e-09,1.556492907752124e-09,1.5845198743817173e-10,7.102676283380678e-10,0.9259607640659369,1.1147712766790105e-10
FELIX0418_ARTERIAL,0.9645333156565433,0.9352480780658311,0.9355340806344281,0.8366564713295223,4.569339728321069e-10,2.848167061275988e-10,9.658103055262672e-09,9.658103055262672e-09,4.687573221358584e-09,3.3455747913834865e-11,5.750828115941969e-10,0.8951861783709231,4.475442352521848e-11
FELIX0427_ARTERIAL,0.9635530422170057,0.9136364472838522,0.940328285706899,0.8496143021093384,3.9010688913548145e-10,4.880405656936566e-10,7.151541105974819e-09,7.151541105974819e-09,2.6036242381701102e-09,8.055836614095149e-11,5.433276643194943e-10,0.9036865610655889,1.3317778166658973e-10
FELIX042_VENOUS,0.9291120414961037,0.9183452510011177,0.9151070624456764,0.8311600277238107,5.673533530201051e-10,1.7785998858532659e-10,2.8998955953488707e-09,2.8998955953488707e-09,1.220554130085983e-09,6.549835074723804e-11,2.2712819109949847e-10,0.9023356060842581,5.6944138366458075e-11
FELIX0433_VENOUS,0.9575897602394221,0.9395771246322822,0.9620921832544058,0.8455765986036885,5.154267215172994e-10,3.5621923143698154e-10,3.439735816456605e-09,3.439735816456605e-09,1.2087805806875779e-09,3.672811279803108e-11,1.7616954553962152e-10,0.9034538637604277,8.083525451134804e-11
FELIX0439_ARTERIAL,0.9628988556049072,0.9524061122029414,0.9610563910245173,0.8715952274322016,3.5143579080031217e-10,3.436969416664844e-10,1.7474269108158269e-09,1.7474269108158269e-09,7.391201508255084e-10,2.91480349989449e-11,1.5291314836659505e-10,0.9369424511447859,5.3932080092702125e-11
FELIX043_ARTERIAL,0.936906851480123,0.9584116465493556,0.9512470941100978,0.8465224177088906,3.692898554712915e-10,1.5438555319363725e-10,1.6958062682158317e-09,1.6958062682158317e-09,7.134041500764027e-10,4.004922851008263e-11,2.337885195263004e-10,0.9361067985213238,4.159384277853551e-11
FELIX0443_VENOUS,0.9592603431822343,0.9177144646043619,0.9432920296964744,0.5337984322200118,4.448992301263962e-10,2.824938556788345e-10,2.5051982801683538e-09,2.5051982801683538e-09,7.463466326733042e-10,3.361073392285629e-11,2.5693796740049745e-10,0.9116442182417005,8.306179048966904e-11
FELIX0444_ARTERIAL,0.9595729353163641,0.9236785589049381,0.9387196543946342,0.8161271913026539,6.399918076952668e-10,8.084270428479049e-10,6.113590474331538e-09,6.113590474331538e-09,1.7274140581664986e-09,4.190161249799809e-11,4.3745871464241744e-10,0.9229327157786217,8.1418969799146e-11
FELIX0481_VENOUS,0.9619767510043594,0.9018914078985886,0.9514863552211719,0.8680150289827875,4.261938754123665e-10,3.004139703610333e-10,3.1826861770124563e-09,3.1826861770124563e-09,2.057867222171735e-09,9.309504724172455e-11,3.848922107881853e-10,0.9068644396164903,2.0690846679363452e-11
FELIX1014_ARTERIAL,0.959260720053366,0.9433608402138463,0.9720063951206028,0.8235500804285046,3.300863834976328e-10,3.3112582770492526e-10,3.5744924092990694e-09,3.5744924092990694e-09,1.0901202390741388e-09,5.453546959377426e-11,2.7645157804740823e-10,0.9249375066063094,3.667372268956744e-11
FELIX1035_ARTERIAL,0.9627626170382444,0.9276983046419315,0.9495070166481114,0.8042313142442638,4.945500581123272e-10,3.850670977935397e-10,3.5788418739573337e-09,3.5788418739573337e-09,1.3016426713591198e-09,4.87438704559139e-11,5.528374378456824e-10,0.9124869830955644,6.23355510205679e-11
FELIX1062_VENOUS,0.964349173511814,0.9160027793819939,0.9589754380781723,0.8415197656929786,3.5998804826720185e-10,1.841342559348065e-10,2.862213054948157e-09,2.862213054948157e-09,4.938856948508042e-10,3.3738305458731706e-11,2.875182573266788e-10,0.9025507643654189,6.586834235295759e-11
