Case_Id,liver,kidney_right,spleen,pancreas,aorta,postcava,adrenal_gland_right,adrenal_gland_left,gall_bladder,stomach,duodenum,kidney_left,colon
FELIX-CYS-1004_ARTERIAL,1.535383448942046e-11,0.7711298690143127,0.10419381381530794,2.666346704351119e-10,9.07721899343833e-11,2.1775770530898563e-10,5.645507302099278e-10,7.019908455465766e-10,2.486869329319476e-10,0.5847955358737708,3.292647188476839e-10,7.461322369606951e-11,4.7744228436665646e-11
FELIX-CYS-1046_ARTERIAL,3.091954733687096e-11,0.8282469673411735,1.3281817588409514e-10,2.552993767490434e-10,0.5987202520855652,1.5364358067077048e-10,5.980575088524129e-10,7.772906750168745e-10,1.952049847163857e-10,0.539816331283842,2.6403616232308625e-10,1.1019684461140771e-10,1.4995561311602435e-10
FELIX-CYS-1050_VENOUS,1.7893546638403926e-11,0.7925242880279693,0.14386296006281823,2.80119891235015e-10,1.0529142031752826e-10,2.0410204281568932e-10,8.03103190084002e-10,8.917027055225799e-10,3.542330852446925e-10,0.7174411670539066,2.875438863029781e-10,1.0387991480767882e-10,4.585174662848202e-11
FELIX-CYS-1086_VENOUS,0.013615001329122002,0.7990907182727136,0.10660854912731445,2.2755769151197122e-10,0.310592037347031,1.0721239202562674e-10,6.880418324700414e-10,9.694807451724892e-10,3.132400294717395e-10,0.6960285715936021,4.313896352465221e-10,1.225557781835327e-10,4.258715247637533e-11
FELIX-CYS-1108_ARTERIAL,1.844809462510247e-11,0.7825895233846675,0.05011760867312712,2.1860599325412378e-10,0.31444389661951483,1.6271645353587469e-10,5.852231159706082e-10,7.400007394531389e-10,2.4005281156093073e-10,0.7429922344485393,3.019925467327449e-10,9.698399181290392e-11,1.3571484309599499e-06
FELIX-CYS-1113_VENOUS,0.004783480270072124,0.8061425526674683,1.6855618143243154e-10,3.24528865114598e-10,1.8357853302695696e-10,2.3805442870792285e-10,8.008521060001025e-10,9.957283244922001e-10,3.8547529088525356e-10,0.4318124490324646,5.249894999343818e-10,1.42234561840425e-10,5.339983392366495e-11
FELIX-CYS-1144_ARTERIAL,1.1103220422340932e-11,0.09836880677040473,5.3262260170521136e-11,1.3719698329390792e-10,0.8245377410631419,1.3853063325974625e-10,7.290276952306806e-10,8.061265612203736e-10,3.907715391745453e-10,0.4541495295702179,2.3393728136012605e-10,9.48319435622072e-11,4.669499807632041e-11
FELIX-CYS-1182_ARTERIAL,2.062423368039194e-11,0.7105107137102658,0.1006747584211471,3.4846848090446093e-10,7.933831841804642e-11,1.6292960460847535e-10,8.594313994470149e-10,1.014270788986773e-09,4.566147493611436e-10,0.7068483479803773,4.953192330004858e-10,1.2060442110232388e-10,1.126879917295254e-10
FELIX-CYS-1201_ARTERIAL,1.8376887168147842e-11,2.461196165888038e-11,0.0604576924009806,3.053649568350251e-10,8.829484118951739e-11,1.6108039842252674e-10,6.971361641496778e-10,9.388789776181777e-10,2.354542264656545e-10,0.7028977366844759,6.579553375587519e-10,0.07624940195481147,4.6239716862827584e-11
FELIX-CYS-1205_VENOUS,1.5896871272924532e-11,0.5834093091585179,8.669154713318062e-11,4.5206321631583703e-10,0.530014043501011,1.5479468804152298e-10,9.641806865311857e-10,1.2231667772941511e-09,3.2275972464633293e-10,0.6482464582116353,4.681998649392278e-10,1.1532655288756625e-10,5.539632190274199e-11
FELIX-CYS-1211_VENOUS,3.2692890504883083e-11,0.8896357224058525,0.04456288152062934,1.1018312423127094e-09,1.987589490821791e-10,2.394561471411436e-10,1.0749220669946017e-09,1.2059816676242382e-09,6.52903461267871e-10,0.7259259098556923,9.60836311002694e-10,2.2064144877132688e-10,9.929638580028952e-11
FELIX-CYS-1243_ARTERIAL,2.3372513456178352e-11,0.786773884005411,0.07316879981653711,6.654776794357564e-10,1.6830794966106014e-10,2.688584002740048e-10,9.764290028937166e-10,1.1857332560404415e-09,3.567287968048769e-10,0.6075939636817433,4.0162900709211405e-10,1.6598915424110772e-10,7.959527394467847e-11
FELIX-CYS-1313_ARTERIAL,1.5567318220961158e-11,0.11509975674904184,8.259118272369275e-11,3.2668635485760187e-10,0.780562905987687,2.135907813762528e-10,7.789435960874103e-10,9.286344421891309e-10,3.819972341941015e-10,0.2671348415306342,4.034910040052571e-10,1.483818220177284e-10,6.919246853339696e-11
FELIX-CYS-1341_ARTERIAL,2.3175287911858466e-11,0.38713632940509657,0.2466588477479522,7.239818999283389e-10,1.5573534333324478e-10,2.165228593539991e-10,9.980039910199561e-10,1.0963349510526624e-09,8.665436167220876e-10,0.28461727448837426,2.0587526836749657e-10,1.7886815803737485e-10,8.799958463421656e-11
FELIX-CYS-1346_VENOUS,0.009446245281851885,0.43460192591141883,0.11556176539093266,4.079468035703721e-10,0.43123960896805646,0.38251324874557135,5.873646121118315e-10,7.547169805624778e-10,3.1427664506089845e-10,0.5409458083189672,2.9386872287771867e-10,1.1180217275092577e-10,8.649411666270286e-11
FELIX-CYS-1384_VENOUS,1.9633582378395804e-11,0.19412303607935286,0.05343132212028373,1.3302259253942492e-10,1.2158808629816706e-10,0.0003397145745093798,1.1433144673374327e-09,1.354352888354796e-09,3.3777507546308117e-10,0.5388200172337,3.1609159059940717e-10,1.2737117359450737e-10,4.233741479945244e-11
FELIX-CYS-1404_VENOUS,2.1138610093662252e-11,0.6834586136089144,1.105038311556155e-10,3.552763871392519e-10,9.681057557790488e-11,2.075899019537137e-10,6.745453559747549e-10,8.237775134903639e-10,4.2499118125236777e-10,0.6948684031724719,3.3264918473251706e-10,1.470352546213864e-10,5.0806321726418814e-11
FELIX-Cys-1021_VENOUS,0.015932304283240894,0.6889232654414857,7.328154770091737e-11,2.8432919626268347e-10,1.2306859226476134e-10,1.8117123577241069e-10,6.802397160133601e-10,1.0645092600973928e-09,2.974579244880874e-10,0.6479901280569716,5.391184332468309e-10,1.0626066590304983e-10,3.525076335403785e-11
FELIX-Cys-1035_VENOUS,0.02551576150407521,3.4433245975809526e-10,0.08932756967863859,4.0856515984761944e-10,1.2380343973944286e-10,1.6957286288684696e-10,9.936900670803496e-10,1.1001826291062307e-09,4.964996770286979e-10,0.7464436085435167,3.7536128509614457e-10,0.496481556948558,1.611767189640243e-10
FELIX-Cys-1229_VENOUS,2.7082656193579636e-09,1.8954255795461926e-10,2.788793511373037e-10,1.0,2.8663972245058626e-10,5.566688930323598e-10,2.0330161786756607e-09,2.7146618814923533e-09,9.399998111164379e-10,1.0246668038670243e-10,8.834702634201762e-09,1.9892303067215634e-10,7.346189158974333e-10
FELIX-Cys-1323_VENOUS,1.2706334997278223e-11,0.778724393785333,0.1547176663097986,2.9162425955386616e-10,1.336557108901797e-10,0.0016800191770026888,1.6182800892994788e-09,2.259325360341327e-09,3.5049963711002546e-10,0.2752389594763607,2.836308147057952e-10,8.303730533290177e-11,7.681948879112862e-11
FELIX-Cys-1337_VENOUS,2.5400689526472712e-11,0.8707321375196941,8.141134710693288e-11,4.1559477829448433e-10,0.3559035960713229,0.5639949912069192,9.683916941350406e-10,1.1777175819365002e-09,2.7638204835680314e-10,0.5827968215603215,5.949512433916081e-10,1.4534947097947385e-10,1.0261988567091652e-10
FELIX-Cys-1365_ARTERIAL,1.8733292244628074e-11,0.3994490560868496,0.30038551922515044,2.5012381122402493e-10,1.6033452192088223e-10,0.004049234228998864,9.19066962374256e-10,1.1299945747491473e-09,6.082133122030621e-10,0.541800208187648,5.061266630025829e-10,1.2302634976846117e-10,4.13356883635765e-11
FELIX0012_ARTERIAL,1.5261497363267112e-11,0.7629052786784281,0.06453411105820005,2.544322090174764e-10,1.727065008155708e-10,1.5542938141353243e-10,8.160201060695411e-10,9.845717595433835e-10,4.42956111712222e-10,0.5414960224640185,3.803221327018761e-10,7.53308720169667e-11,3.3611976618379305e-11
