Case_Id,liver,kidney_right,spleen,pancreas,aorta,postcava,adrenal_gland_right,adrenal_gland_left,gall_bladder,stomach,duodenum,kidney_left,colon
FELIX-CYS-1004_ARTERIAL,0.9558638176030065,0.8913187898210692,0.9585624362767216,0.8580349104176911,3.7683234714668867e-10,5.642035417515114e-10,1.8930788999449514e-09,1.8930788999449514e-09,7.160707759227856e-10,2.174130929161072e-11,4.088591601178908e-10,0.908743213665065,5.4731691562029795e-11
FELIX-CYS-1046_ARTERIAL,0.9572369123780157,0.922651768224538,0.9097718608106644,0.7750110862748395,3.7528944184128656e-10,5.099231033359561e-10,6.433764354154511e-09,6.433764354154511e-09,8.96523281905898e-10,8.537230863068175e-11,2.9951149665909557e-10,0.9226540731460351,3.716960862737482e-10
FELIX-CYS-1050_VENOUS,0.9729856776899677,0.9471854483730978,0.9622226084332347,0.872134446100488,4.95083817445227e-10,4.798786864377268e-10,3.2648796785240143e-09,3.2648796785240143e-09,1.054852319562392e-09,5.200175557656418e-11,3.3187199022574864e-10,0.9338865377274417,5.257054177872583e-11
FELIX-CYS-1086_VENOUS,0.9686852259820352,0.8973683647131006,0.9665827902379481,0.8598555048661429,3.2864358920581845e-10,2.1233947131456407e-10,4.404704204709932e-09,4.404704204709932e-09,3.5004200381531083e-09,3.574769704270929e-11,4.682722157853289e-10,0.8831594419033703,5.467970813859995e-11
FELIX-CYS-1108_ARTERIAL,0.9632224367338323,0.9091976661320453,0.9567638692250309,0.8432765110713368,3.0788651293650257e-10,3.6356629436378944e-10,2.596053991183661e-09,2.596053991183661e-09,9.62037980333983e-10,3.403779079645239e-11,3.675119440031195e-10,0.9030252160888447,3.894337282948359e-11
FELIX-CYS-1113_VENOUS,0.9611526222802197,0.9236561663636129,0.9494073638022968,0.8413102573635812,4.442410805523511e-10,5.398926690458517e-10,3.9334460766493095e-09,3.9334460766493095e-09,2.1968365505341905e-09,3.658243925717959e-11,5.971539638499985e-10,0.9154241850338883,6.047481193479637e-11
FELIX-CYS-1144_ARTERIAL,0.9635932443859372,0.9406982339421194,0.9419284901004606,0.8785610503844723,3.5655072812773404e-10,2.1092151605936988e-10,3.728977873255853e-09,3.728977873255853e-09,3.840540733387585e-09,2.940111977018318e-11,2.7635607920465935e-10,0.9314202622884923,5.2089003435681855e-11
FELIX-CYS-1182_ARTERIAL,0.9639437412945973,0.9034471317109077,0.9504898586982697,0.8469022700402148,3.919877698279222e-10,3.6284601890324494e-10,1.0448228916014745e-08,1.0448228916014745e-08,1.0,3.620441592370845e-11,6.510204741700983e-10,0.8782378117716134,1.8680729516359515e-10
FELIX-CYS-1201_ARTERIAL,0.9535419028437304,0.43368266608207356,0.9403206959830274,0.8305933079391132,2.7240237091603405e-10,3.6539557711841905e-10,2.016698257539027e-09,2.016698257539027e-09,9.898539955557e-10,4.1636757594060074e-11,7.734490407116899e-10,0.5620200365445195,5.410681550798147e-11
FELIX-CYS-1205_VENOUS,0.9684836301130897,0.9275559805556051,0.9634862729137235,0.8225488114964362,3.0476469108905694e-10,2.738705577445471e-10,2.4120215094140683e-09,2.4120215094140683e-09,1.6206930057037164e-09,7.991337389630334e-11,4.886534662689092e-10,0.9127377675825242,6.435358432962204e-11
FELIX-CYS-1211_VENOUS,0.962368298543012,0.9020687542668284,0.954695678347335,0.7797032421075147,6.774333401003731e-10,3.6919032855384816e-10,7.150007098884549e-09,7.150007098884549e-09,5.054589541778258e-09,1.0312212546011834e-10,1.3354700836866051e-09,0.894494425933768,1.183387137861834e-10
FELIX-CYS-1243_ARTERIAL,0.9524939708829924,0.9059772731424501,0.9558297899881917,0.7906212044662144,4.662678520129865e-10,5.574322437999977e-10,5.81327749207489e-09,5.81327749207489e-09,1.010356149522247e-09,7.417968395937182e-11,4.723420131819594e-10,0.9047168672130553,9.309808068130125e-11
FELIX-CYS-1313_ARTERIAL,0.9436771460451641,0.9297507807031905,0.9356407423053694,0.7426989016470891,3.7376889855023684e-10,3.804407785414506e-10,2.926286826072377e-09,2.926286826072377e-09,1.5074316357028675e-09,3.988210848572093e-11,4.907638245760959e-10,0.9184079873701053,7.916076918309563e-11
FELIX-CYS-1341_ARTERIAL,0.9636794566326626,0.9177562778957921,0.951533927902831,0.7728090329684525,6.469435149431378e-10,4.88921048789959e-10,4.030470339645841e-09,4.030470339645841e-09,1.0,2.935101673303369e-11,2.2855575612448157e-10,0.9119833097046327,1.1414560869125833e-10
FELIX-CYS-1346_VENOUS,0.9643516093546057,0.9282708663237254,0.9423730451106115,0.8348278589412214,4.121603796771299e-10,3.1526049965155504e-10,3.2086247731225543e-09,3.2086247731225543e-09,1.4441475897983282e-09,7.437404940114952e-11,3.295620448897905e-10,0.8916081479408147,1.1102574463734266e-10
